,X1,X2,X11,X14,X15,X18,X21,X22,X26,X40,X46,X48,X52,X56,X59,X60,X62,X64,X66,X67,X68,X69,X74,X77,X78,X88,X89,X90,X93,X97,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138
hsa-miR-20a-3p,0,0,0,0,0,0,0,1,0,2,0,9,0,0,0,0,5,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-20a-5p,126,299,62,75,39,9,78,136,62,111,40,501,99,305,291,121,298,166,39,63,82,88,0,44,0,44,53,61,114,1,75,110,41,69,5,0,15,16,25,25,47,4,50,16,19,43,36,61,53,93,15,43,45,49,71,17,8,75,3,54
hsa-miR-20b-3p,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-20b-5p,31,47,1,12,5,2,8,11,9,7,4,59,11,16,32,6,24,8,8,21,14,17,0,6,0,2,3,10,7,0,6,8,7,7,0,0,6,5,5,6,3,4,9,0,6,0,3,12,3,14,0,18,0,0,62,6,0,16,5,7
hsa-miR-21-3p,579,1018,792,117,41,65,174,366,116,700,206,801,126,763,600,340,897,784,113,93,140,156,219,129,140,125,576,181,343,52,34,136,49,84,18,73,13,17,11,37,57,26,91,63,54,96,209,212,198,242,145,234,235,54,194,112,184,97,138,67
hsa-miR-21-5p,5958,12050,7118,2059,943,992,5477,8739,2096,8631,3438,24263,4251,11792,13661,8502,20368,14336,1724,1971,4070,2971,791,2566,540,3194,8181,2515,8329,343,1378,4249,1128,3406,152,214,572,507,422,1188,943,690,1775,1419,998,2094,2798,4863,2615,5593,2247,3182,3486,1610,3880,1611,1735,2035,2547,1414
hsa-miR-210-3p,239,217,78,147,47,4,66,61,104,121,17,229,116,293,346,130,164,42,32,89,83,75,11,48,7,20,138,31,49,5,76,93,37,71,12,7,18,20,36,43,26,19,54,5,29,23,42,26,34,65,11,81,79,31,159,37,27,102,27,91
hsa-miR-210-5p,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-211-3p,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-211-5p,0,1,47,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,2,1,15,0,0,0,2,1,0,13,0,0,0,4,2,11,0,0,2,1,0,2,0,0,2,0,6,1,5,0,0,8,0,1,1,1,0,0,1,0
hsa-miR-2110,6,2,13,0,0,1,4,4,0,5,0,1,5,3,8,0,2,2,0,0,0,0,0,0,0,0,10,1,1,0,1,12,5,6,0,20,4,1,6,0,1,0,0,0,0,3,6,4,0,6,9,0,0,0,14,0,0,4,0,0
hsa-miR-2114-3p,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2114-5p,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2115-3p,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,1,4,0,0,0,0,1,0,0,0,2,0,0,0,5,6,4,0,0,0,0,0,6,5,9,4,4,0,0,0
hsa-miR-2115-5p,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2116-3p,8,14,0,2,1,0,0,4,0,0,3,2,1,9,0,7,12,0,0,0,1,3,0,0,0,2,1,4,2,8,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,3,2,0,1,6,3,0,0,0,0,0,3,0,0,0
hsa-miR-2116-5p,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
hsa-miR-212-3p,24,30,17,2,0,0,1,2,0,1,0,4,1,0,0,0,0,1,0,0,3,0,0,1,10,0,6,3,6,3,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,0,4,0
hsa-miR-212-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-214-3p,0,8,0,3,0,0,2,0,3,1,0,8,8,0,0,7,10,1,0,0,4,0,0,1,0,1,4,4,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,8,12,0,0,0,0,3,0,0,7
hsa-miR-214-5p,6,0,2,2,0,0,0,0,0,0,0,0,1,1,5,5,0,3,0,0,4,4,0,0,0,0,4,5,0,0,0,10,0,2,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,7,0,0,0,8,3,0,0,4
hsa-miR-215-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-215-5p,249,196,1067,83,67,25,32,51,42,28,24,229,51,158,140,173,284,81,18,118,141,139,101,29,19,46,67,99,88,501,34,22,15,23,22,6,4,10,15,12,12,20,14,13,6,54,44,63,30,134,106,112,131,41,49,97,24,41,35,108
hsa-miR-216a-5p,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
hsa-miR-216b-5p,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-217,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-218-1-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-218-5p,0,0,1,0,2,1,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
hsa-miR-219a-1-3p,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,6,0,0,3,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,5,0,0,0,0,4,0,0
hsa-miR-219a-2-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-219a-5p,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
hsa-miR-219b-3p,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-219b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-22-3p,60541,107226,43631,19756,7229,5496,29668,46275,12364,41518,13976,111500,23388,65557,95635,44437,102930,66549,13313,14460,20102,20783,1399,12905,1231,13518,75602,18367,35231,1229,17625,32010,11193,16677,267,517,5196,3646,5149,8245,6788,3616,8680,4085,8133,8861,14379,15095,13407,17845,10914,22665,17634,7007,38323,16042,18914,31779,13198,17026
hsa-miR-22-5p,44,56,29,19,13,5,25,34,13,37,8,103,27,21,62,46,71,36,12,22,16,22,0,18,0,25,92,24,33,4,14,14,8,11,0,0,2,3,4,1,4,3,7,4,5,3,14,13,4,24,5,7,5,11,16,0,6,8,12,7
hsa-miR-221-3p,639,1010,735,208,80,122,690,1296,232,939,400,2238,276,896,1471,710,2688,1970,189,146,360,358,120,309,128,317,1822,273,878,42,227,743,183,580,65,19,132,119,83,226,173,68,190,126,189,359,548,480,329,492,339,576,529,270,608,245,513,300,334,157
hsa-miR-221-5p,0,0,8,0,0,0,10,5,1,10,7,12,2,2,8,4,30,15,1,0,0,1,0,4,0,7,0,0,7,0,5,4,4,6,0,10,0,1,2,0,0,0,0,1,0,4,2,10,3,5,0,0,12,0,0,0,0,0,0,0
hsa-miR-222-3p,189,405,275,49,17,16,79,115,39,104,40,321,54,71,196,89,351,155,16,42,57,34,48,78,0,44,78,45,138,0,46,187,74,104,0,1,18,14,12,32,36,11,50,48,51,51,102,79,59,135,94,111,78,43,139,49,46,83,18,43
hsa-miR-222-5p,0,0,1,0,0,0,2,3,0,0,1,0,1,6,9,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0
hsa-miR-223-3p,370,1011,620,201,45,76,507,1136,186,821,341,1853,246,864,1591,841,2625,1537,166,97,355,163,31,319,5,373,390,368,795,9,591,2566,541,890,20,71,255,106,236,232,316,111,283,366,420,555,1329,475,685,667,843,564,1027,822,1558,681,149,229,312,207
hsa-miR-223-5p,16,55,36,17,7,7,17,28,16,7,7,54,19,21,104,44,85,35,5,8,10,35,12,7,0,11,47,15,29,11,18,50,18,19,0,23,5,3,4,6,15,7,2,9,24,21,31,27,37,28,35,74,88,35,114,31,1,5,9,0
hsa-miR-224-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-224-5p,17,4,70,0,0,0,10,11,1,12,1,25,2,3,5,1,10,24,2,1,2,1,0,1,0,4,4,4,20,13,6,7,4,12,9,9,2,0,1,3,3,2,4,0,5,0,5,5,1,14,0,9,3,0,14,2,0,0,5,0
hsa-miR-2276-3p,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2277-3p,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
hsa-miR-2277-5p,0,0,0,0,0,0,0,2,0,0,0,8,3,13,7,2,7,3,0,0,1,2,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,1,0,0,0,0,2,2,5,0,0,3,0,0,0,0,0,4,8,0,0,0,0
hsa-miR-2278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2355-3p,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2355-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-23a-3p,8,21,1,8,0,0,5,16,5,5,1,14,3,15,13,4,25,22,2,3,3,4,12,6,3,0,12,5,7,1,3,5,3,2,0,0,1,0,2,1,1,0,2,1,1,2,2,2,1,7,1,2,0,1,1,1,0,0,1,1
hsa-miR-23a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-23b-3p,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hsa-miR-23b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-23c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-24-1-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
hsa-miR-24-2-5p,1,0,23,3,0,0,7,17,4,12,2,55,0,21,19,7,30,32,0,0,11,0,0,0,0,12,5,6,9,0,2,10,0,9,0,0,0,2,1,0,0,0,1,1,0,0,6,6,5,4,0,0,0,3,14,0,0,4,1,0
hsa-miR-24-3p,363,735,402,91,38,21,90,172,37,102,59,167,59,106,175,110,274,204,28,36,41,53,213,107,96,138,330,89,134,99,34,140,25,50,60,83,32,15,15,26,37,22,71,50,48,53,150,87,99,120,72,125,58,46,90,81,77,63,58,67
hsa-miR-2467-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2467-5p,0,0,5,1,0,0,1,2,0,4,1,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,2,3,0,0,1,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,7,0,7,0,5,2,0,0,0,9,0,5
hsa-miR-25-3p,18103,34932,9378,5477,2101,533,4396,4559,4365,5562,1942,31591,5947,12310,18215,9997,11820,3175,2617,2912,3297,4097,1907,1742,2147,784,6889,2963,3520,1220,5967,7929,3721,3726,549,1075,1332,1282,2174,2473,4571,2285,4838,1906,4728,3997,4241,5007,3996,4676,3705,7389,6715,2461,18636,3099,2969,16707,3187,7894
hsa-miR-25-5p,29,23,8,5,2,0,5,16,6,13,1,55,6,40,23,1,14,6,6,10,6,3,17,4,0,3,9,8,10,0,12,33,10,9,0,0,4,1,8,4,7,13,1,10,5,11,23,10,8,5,12,22,8,16,76,1,6,17,15,16
hsa-miR-2681-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-26a-1-3p,0,0,0,2,0,0,1,1,0,1,0,5,0,3,0,0,0,1,0,0,1,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-26a-2-3p,0,10,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-26a-5p,10153,31565,27383,2788,1239,2534,13453,29768,3641,18026,9193,54000,6384,25607,26355,14966,68302,45916,3449,2034,5940,3819,7472,5690,3328,8304,3454,6832,23018,2595,3858,13423,3063,7468,1896,2048,1929,1395,1432,3094,2282,1587,3663,3130,2275,6540,7270,10970,7564,12143,4860,8189,9246,3951,11592,3820,1105,6499,5581,2354
hsa-miR-26b-3p,12,100,65,12,2,9,50,121,20,81,28,151,40,61,97,57,181,124,13,11,19,13,10,20,17,32,38,24,36,0,35,122,33,55,0,7,14,7,10,16,29,12,23,23,11,30,50,37,62,18,56,29,57,10,113,24,24,32,32,20
hsa-miR-26b-5p,2344,5144,1863,767,236,215,1301,2519,621,1863,1126,4600,1187,2185,3506,2218,7778,3713,591,607,815,959,243,873,151,949,618,1147,2374,156,808,1582,449,797,30,91,189,139,239,309,333,184,418,322,302,697,1053,1334,804,1431,510,873,895,367,1821,530,142,1298,596,529
hsa-miR-27a-3p,2169,4282,1534,891,405,314,1138,1213,575,1262,516,4304,1170,2188,3862,2942,4870,1604,491,741,1286,1466,145,514,50,636,3773,950,1312,94,340,1392,403,595,34,2,124,52,194,253,199,116,304,136,185,404,1235,526,563,753,526,694,449,379,823,549,400,388,455,194
hsa-miR-27a-5p,0,0,11,0,0,0,0,0,0,1,0,0,1,0,6,0,6,1,0,2,0,0,0,0,0,1,0,0,1,0,0,6,3,3,0,13,2,1,5,1,0,1,2,1,3,3,4,1,8,6,0,8,0,0,0,0,0,0,0,0
hsa-miR-27b-3p,8164,20319,7371,1656,1015,853,3635,6123,1697,4215,1627,12355,3187,9828,10831,7556,15795,9546,1813,1680,3602,3343,1003,1645,1155,2465,7745,2753,4990,838,570,2356,701,1177,244,194,207,230,373,634,698,557,1229,607,914,1839,3543,3022,3183,3523,2442,2679,2159,1522,5219,3928,2241,1975,3180,2340
hsa-miR-27b-5p,6,17,18,0,0,0,12,16,8,10,7,13,1,1,9,5,33,17,1,3,1,2,0,4,0,3,5,6,14,0,0,4,1,5,0,0,0,0,0,2,0,0,8,0,2,2,0,1,4,0,0,5,13,7,0,10,0,0,11,0
hsa-miR-28-3p,263,460,314,37,12,20,98,231,64,328,90,582,71,211,281,149,684,331,37,36,58,28,62,104,44,99,122,58,218,12,56,241,57,91,29,35,27,15,19,35,86,58,157,143,107,345,310,254,140,208,184,225,283,146,342,251,68,106,155,48
hsa-miR-28-5p,30,98,191,23,10,18,94,214,28,193,86,342,55,140,205,139,466,367,35,18,35,20,0,47,0,83,18,53,178,8,42,117,35,56,1,0,31,15,11,27,10,0,41,35,16,23,24,42,34,40,18,34,83,13,83,14,6,23,25,32
hsa-miR-2861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-296-3p,0,1,53,0,0,0,0,0,2,0,1,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,1,32,0,0,0,0,1,1,1,0,2,0,2,0,1,1,3,2,0,1,0,0,0,0,1,0,0,0,1,1,9,0
hsa-miR-296-5p,0,0,0,0,0,1,3,1,2,0,0,3,1,0,2,0,4,1,0,5,0,0,0,0,0,0,0,2,6,0,5,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,2,0,0,0
hsa-miR-297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-299-3p,0,0,87,0,0,0,0,7,1,6,2,11,0,0,9,0,14,8,2,0,2,3,15,0,0,0,0,2,0,32,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,5,0,1,0,0
hsa-miR-299-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-29a-3p,449,841,380,205,89,57,209,250,110,224,104,1073,231,676,1092,804,701,279,130,139,289,301,9,73,0,124,777,213,243,13,153,252,87,99,0,0,28,12,46,65,43,29,49,32,54,44,154,83,85,140,105,132,86,90,204,138,98,114,151,21
hsa-miR-29a-5p,0,0,0,0,0,0,4,0,3,0,0,5,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-29b-1-5p,0,0,0,2,0,1,2,0,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-29b-2-5p,0,0,0,1,0,0,0,3,0,4,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-29b-3p,0,0,11,3,1,1,7,0,4,6,1,20,1,14,8,6,3,9,1,6,5,4,0,1,0,1,3,8,1,0,0,7,0,0,0,0,1,0,0,2,0,0,2,2,0,0,0,2,0,2,0,0,5,0,0,0,0,0,0,0
hsa-miR-29c-3p,152,359,167,81,39,19,108,97,32,130,54,369,82,222,394,289,321,110,69,79,111,102,0,45,0,51,286,98,155,10,77,117,32,50,0,0,10,5,37,25,22,13,9,5,14,28,58,48,34,55,56,35,37,2,60,40,24,35,22,18
hsa-miR-29c-5p,0,11,0,1,0,0,3,0,0,0,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,4,0,0,0,0
hsa-miR-300,0,15,1230,0,0,0,0,0,17,3,6,6,3,6,9,4,9,12,0,7,11,7,0,0,0,0,0,22,13,450,3,6,3,6,12,0,5,8,7,2,4,11,3,2,1,71,5,16,2,3,4,4,18,2,5,33,3,7,2,5
hsa-miR-301a-3p,132,342,403,61,21,38,216,469,65,276,118,649,77,268,298,246,664,616,40,42,50,61,51,98,4,103,37,88,262,77,55,128,24,50,5,0,8,12,17,33,30,21,28,14,15,93,62,103,101,87,50,49,49,62,127,41,0,89,44,64
hsa-miR-301a-5p,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-301b-3p,31,38,117,1,1,7,26,53,6,35,16,57,6,9,50,2,83,83,3,1,4,4,0,12,0,12,2,7,42,34,0,13,8,9,1,0,1,1,2,10,2,2,3,0,0,3,0,9,2,7,18,15,19,1,5,0,2,0,6,0
hsa-miR-301b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
hsa-miR-302a-3p,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-302a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-302b-3p,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-302b-5p,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-302c-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-302c-5p,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-302d-3p,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3064-5p,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
hsa-miR-3065-3p,0,0,0,0,0,2,0,0,0,0,0,4,0,0,6,0,3,0,0,0,0,0,0,0,0,2,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0
hsa-miR-3065-5p,7,0,0,0,0,0,1,0,1,0,2,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
